id,name,price,category,brand,description
1,CozyCat Bed,50.0,Beds,FelineComfort,"The CozyCat Bed from FelineComfort offers your cat a plush, comfortable place to rest. Made from soft, durable materials, this bed is perfect for cats of all sizes. Easy to clean and machine washable."
2,WhiskerToys Play Set,30.0,Toys,WhiskerToys,"Keep your cat entertained with the WhiskerToys Play Set. Includes a variety of toys such as balls, mice, and feathers to stimulate your cat's natural hunting instincts. Safe and non-toxic materials."
3,GourmetCat Food,25.0,Food,GourmetCat,"GourmetCat Food provides a balanced diet for your feline friend. Made with high-quality ingredients, this food supports healthy digestion and a shiny coat. Available in various flavors to suit all tastes."
4,Purrfect Grooming Kit,40.0,Grooming,PurrfectCare,"The Purrfect Grooming Kit includes brushes, combs, and nail clippers to keep your cat looking their best. Ergonomically designed for ease of use and comfort for both you and your cat."
5,CatCastle Scratching Post,60.0,Furniture,CatCastle,"The CatCastle Scratching Post is a sturdy and stylish addition to your home. Made from durable materials, it provides your cat with a place to scratch and climb, helping to keep their claws healthy."
6,KittySafe Litter Box,35.0,Litter Boxes,KittySafe,"The KittySafe Litter Box is designed for easy cleaning and odor control. Its high sides prevent litter scatter, and the removable lid makes maintenance a breeze. Suitable for cats of all sizes."
7,FelineFresh Treats,15.0,Treats,FelineFresh,"Reward your cat with FelineFresh Treats. Made with natural ingredients, these treats are both delicious and nutritious. Perfect for training or just showing your cat some love."
8,CatExplorer Harness,45.0,Accessories,CatExplorer,"Take your cat on outdoor adventures with the CatExplorer Harness. Adjustable and comfortable, it ensures your cat's safety while exploring. Includes a leash for added control."
9,PurrfectHealth Supplements,20.0,Health,PurrfectHealth,"Support your cat's well-being with PurrfectHealth Supplements. Formulated to promote joint health, a shiny coat, and overall vitality. Easy to administer and loved by cats."
10,KittyComfort Carrier,70.0,Carriers,KittyComfort,"Travel with ease using the KittyComfort Carrier. Designed for comfort and safety, it features ventilation panels and a soft interior. Perfect for trips to the vet or long journeys."
11,Catnip Toy,10.0,Toys,PurrfectPlay,"A fun and engaging catnip toy to keep your cat entertained for hours."
12,Premium Cat Food,25.0,Food,WhiskerLickin's,"High-quality premium cat food with all the essential nutrients for a healthy diet."
13,Cat Scratching Post,40.0,Accessories,ScratchMaster,"Durable scratching post to keep your cat's claws healthy and your furniture safe."
14,Automatic Litter Box,150.0,Accessories,CleanPaws,"Self-cleaning automatic litter box for hassle-free maintenance."
15,Cat Bed,30.0,Furniture,CozyCat,"Comfortable and cozy cat bed for your feline friend to rest and relax."
16,Interactive Laser Toy,20.0,Toys,LaserFun,"Interactive laser toy to keep your cat active and entertained."
17,Organic Catnip,12.0,Food,OrganicPaws,"Organic catnip to stimulate your cat's senses and provide hours of fun."
18,Self-Warming Cat Mat,25.0,Beds,WarmWhiskers,"Self-warming cat mat to keep your cat cozy and comfortable."
19,Cat Tunnel,18.0,Toys,TunnelTime,"Fun and engaging cat tunnel for your cat to explore and play."
20,Cat Water Fountain,35.0,Accessories,AquaPaws,"Automatic cat water fountain to ensure your cat stays hydrated."
21,Cat Tree Condo,100.0,Furniture,TreeHouse,"Multi-level cat tree condo for climbing, scratching, and resting."
22,Cat Feather Wand,8.0,Toys,FeatherFun,"Interactive feather wand to stimulate your cat's hunting instincts."
23,Cat Dental Chews,10.0,Health,DentalDelight,"Dental chews to promote healthy teeth and gums."
24,Cat Window Perch,30.0,Furniture,WindowView,"Window perch for your cat to enjoy the view and relax."
